Date,Day,Time,DO,DH,DL,DC,BBL20,BBM20,BBH20,EVA8,EVA15,EVA48,EVA90,EVA200,SVA20,SVA50,SVA100,SVA200,WVA200,LSI5,LSI2
2007.05.01,Tuesday,00:00,0.91920,0.92230,0.91450,0.91540,0.00000,0.00000,0.00000,0.91540,0.91540,0.91540,0.91540,0.91540,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2007.05.02,Wednesday,00:00,0.91550,0.91850,0.91180,0.91280,0.00000,0.00000,0.00000,0.91482,0.91508,0.91529,0.91534,0.91537,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2007.05.03,Thursday,00:00,0.91290,0.91490,0.90510,0.90700,0.00000,0.00000,0.00000,0.91308,0.91407,0.91496,0.91516,0.91529,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
2007.05.04,Friday,00:00,0.90710,0.90980,0.90150,0.90950,0.00000,0.00000,0.00000,0.91229,0.91349,0.91473,0.91504,0.91523,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37.31343
2007.05.06,Sunday,00:00,0.90860,0.91230,0.90790,0.91140,0.00000,0.00000,0.00000,0.91209,0.91323,0.91460,0.91496,0.91520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,60.00000
2007.05.07,Monday,00:00,0.91130,0.91420,0.90770,0.91390,0.00000,0.00000,0.00000,0.91249,0.91332,0.91457,0.91493,0.91518,0.00000,0.00000,0.00000,0.00000,0.00000,45.09804,79.51220
2007.05.08,Tuesday,00:00,0.91400,0.91680,0.91140,0.91580,0.00000,0.00000,0.00000,0.91323,0.91363,0.91462,0.91495,0.91519,0.00000,0.00000,0.00000,0.00000,0.00000,52.47525,88.23529
2007.05.09,Wednesday,00:00,0.91600,0.92140,0.91360,0.91980,0.00000,0.00000,0.00000,0.91469,0.91440,0.91483,0.91506,0.91523,0.00000,0.00000,0.00000,0.00000,0.00000,64.89028,95.78736
2007.05.10,Thursday,00:00,0.91990,0.92250,0.91470,0.91900,0.00000,0.00000,0.00000,0.91565,0.91497,0.91500,0.91514,0.91527,0.00000,0.00000,0.00000,0.00000,0.00000,60.91221,76.21708
2007.05.11,Friday,00:00,0.91920,0.92810,0.91880,0.92290,0.00000,0.00000,0.00000,0.91726,0.91596,0.91532,0.91531,0.91535,0.00000,0.00000,0.00000,0.00000,0.00000,71.54302,92.05121
2007.05.13,Sunday,00:00,0.92370,0.92790,0.92310,0.92410,0.00000,0.00000,0.00000,0.91878,0.91698,0.91568,0.91551,0.91543,0.00000,0.00000,0.00000,0.00000,0.00000,74.23786,94.36140
2007.05.14,Monday,00:00,0.92420,0.92770,0.91930,0.91970,0.00000,0.00000,0.00000,0.91898,0.91732,0.91584,0.91560,0.91548,0.00000,0.00000,0.00000,0.00000,0.00000,51.76846,30.13475
2007.05.15,Tuesday,00:00,0.91960,0.92100,0.91130,0.91390,0.00000,0.00000,0.00000,0.91785,0.91689,0.91577,0.91556,0.91546,0.00000,0.00000,0.00000,0.00000,0.00000,34.54192,10.78387
2007.05.16,Wednesday,00:00,0.91380,0.91410,0.90740,0.91120,0.00000,0.00000,0.00000,0.91638,0.91618,0.91558,0.91547,0.91542,0.00000,0.00000,0.00000,0.00000,0.00000,28.93849,6.74895
2007.05.17,Thursday,00:00,0.91110,0.91200,0.90060,0.90350,0.00000,0.00000,0.00000,0.91351,0.91460,0.91509,0.91520,0.91530,0.00000,0.00000,0.00000,0.00000,0.00000,18.33536,2.15338
2007.05.18,Friday,00:00,0.90340,0.90380,0.89460,0.89530,0.00000,0.00000,0.00000,0.90947,0.91218,0.91428,0.91477,0.91510,0.00000,0.00000,0.00000,0.00000,0.00000,12.32427,0.87883
2007.05.20,Sunday,00:00,0.89700,0.89790,0.89510,0.89590,0.00000,0.00000,0.00000,0.90645,0.91015,0.91353,0.91435,0.91491,0.00000,0.00000,0.00000,0.00000,0.00000,14.87673,8.78006
2007.05.21,Monday,00:00,0.89600,0.89710,0.88740,0.89040,0.00000,0.00000,0.00000,0.90288,0.90768,0.91258,0.91383,0.91467,0.00000,0.00000,0.00000,0.00000,0.00000,11.15548,3.56710
2007.05.22,Tuesday,00:00,0.89030,0.89240,0.88870,0.89240,0.00000,0.00000,0.00000,0.90055,0.90577,0.91176,0.91335,0.91444,0.00000,0.00000,0.00000,0.00000,0.00000,20.22578,32.64927
2007.05.23,Wednesday,00:00,0.89230,0.89540,0.88970,0.89090,0.90673,0.90924,0.91175,0.89841,0.90391,0.91091,0.91286,0.91421,0.90924,0.00000,0.00000,0.00000,0.00000,18.45904,22.48001
2007.05.24,Thursday,00:00,0.89080,0.89200,0.88620,0.88800,0.90516,0.90787,0.91058,0.89610,0.90192,0.90997,0.91231,0.91395,0.90787,0.00000,0.00000,0.00000,0.00000,15.24159,10.19802
2007.05.25,Friday,00:00,0.88790,0.88970,0.88200,0.88310,0.90341,0.90638,0.90936,0.89321,0.89957,0.90888,0.91167,0.91364,0.90638,0.00000,0.00000,0.00000,0.00000,11.14038,3.58292
2007.05.27,Sunday,00:00,0.88340,0.88510,0.88280,0.88410,0.90205,0.90524,0.90843,0.89118,0.89764,0.90787,0.91107,0.91335,0.90524,0.00000,0.00000,0.00000,0.00000,16.84816,23.76659
2007.05.28,Monday,00:00,0.88400,0.88590,0.88250,0.88410,0.90062,0.90397,0.90732,0.88961,0.89594,0.90690,0.91047,0.91306,0.90397,0.00000,0.00000,0.00000,0.00000,16.84816,23.76659
2007.05.29,Tuesday,00:00,0.88420,0.88850,0.87690,0.87840,0.89875,0.90232,0.90589,0.88712,0.89375,0.90573,0.90977,0.91271,0.90232,0.00000,0.00000,0.00000,0.00000,10.71710,4.11693
2007.05.30,Wednesday,00:00,0.87850,0.88480,0.87440,0.88380,0.89718,0.90081,0.90445,0.88638,0.89251,0.90484,0.90920,0.91243,0.90081,0.00000,0.00000,0.00000,0.00000,37.60521,62.64088
2007.05.31,Thursday,00:00,0.88370,0.88740,0.88100,0.88620,0.89572,0.89933,0.90295,0.88634,0.89172,0.90408,0.90869,0.91216,0.89933,0.00000,0.00000,0.00000,0.00000,46.54818,75.78092
2007.06.01,Friday,00:00,0.88630,0.88720,0.88040,0.88320,0.89398,0.89750,0.90103,0.88564,0.89065,0.90322,0.90813,0.91188,0.89750,0.00000,0.00000,0.00000,0.00000,38.03107,40.32388
2007.06.03,Sunday,00:00,0.88330,0.88330,0.88140,0.88290,0.89230,0.89570,0.89910,0.88503,0.88968,0.90240,0.90758,0.91159,0.89570,0.00000,0.00000,0.00000,0.00000,37.18068,36.87336
2007.06.04,Monday,00:00,0.88290,0.88440,0.87850,0.88360,0.89062,0.89373,0.89685,0.88471,0.88892,0.90163,0.90705,0.91131,0.89373,0.00000,0.00000,0.00000,0.00000,41.02678,54.88788
2007.06.05,Tuesday,00:00,0.88370,0.89400,0.88320,0.89190,0.88948,0.89212,0.89477,0.88631,0.88930,0.90123,0.90672,0.91112,0.89212,0.00000,0.00000,0.00000,0.00000,69.08249,94.19210
2007.06.06,Wednesday,00:00,0.89180,0.89510,0.88830,0.89510,0.88870,0.89089,0.89309,0.88826,0.89002,0.90098,0.90646,0.91096,0.89089,0.00000,0.00000,0.00000,0.00000,74.84890,96.52599
2007.06.07,Thursday,00:00,0.89490,0.89730,0.89240,0.89470,0.88811,0.88993,0.89176,0.88969,0.89061,0.90072,0.90620,0.91080,0.88993,0.00000,0.00000,0.00000,0.00000,72.72941,87.71408
2007.06.08,Friday,00:00,0.89480,0.89850,0.89220,0.89570,0.88770,0.88916,0.89062,0.89103,0.89124,0.90052,0.90597,0.91064,0.88916,0.00000,0.00000,0.00000,0.00000,74.94641,91.56449
2007.06.10,Sunday,00:00,0.89540,0.89590,0.89130,0.89240,0.88735,0.88860,0.88986,0.89133,0.89139,0.90019,0.90567,0.91046,0.88860,0.00000,0.00000,0.00000,0.00000,56.12503,29.84072
